LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
46m         Normal    Created             pod/currencyservice-fd8f5dfb7-cljwx          Container created
46m         Normal    Started             pod/currencyservice-fd8f5dfb7-cljwx          Container started
46m         Warning   Unhealthy           pod/currencyservice-fd8f5dfb7-cljwx          Readiness probe failed: timeout: failed to connect service "10.244.0.14:7000" within 1s: context deadline exceeded
46m         Normal    Pulled              pod/productcatalogservice-fb49fc9cc-gh6hr    Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.4" in 12.388s (48.64s including waiting). Image size: 35115649 bytes.
46m         Normal    Created             pod/productcatalogservice-fb49fc9cc-gh6hr    Container created
46m         Normal    Started             pod/productcatalogservice-fb49fc9cc-gh6hr    Container started
46m         Normal    Pulled              pod/shippingservice-55656785c7-b48d2         Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4" in 9.516s (58.152s including waiting). Image size: 22488696 bytes.
46m         Normal    Created             pod/shippingservice-55656785c7-b48d2         Container created
46m         Normal    Started             pod/shippingservice-55656785c7-b48d2         Container started
46m         Normal    Pulled              pod/checkoutservice-75b9cd684f-dc5tt         Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4" in 9.802s (1m7.665s including waiting). Image size: 23389598 bytes.
46m         Normal    Created             pod/checkoutservice-75b9cd684f-dc5tt         Container created
46m         Normal    Started             pod/checkoutservice-75b9cd684f-dc5tt         Container started
45m         Normal    Started             pod/cartservice-546c548494-j4j6h             Container started
45m         Normal    Created             pod/cartservice-546c548494-j4j6h             Container created
45m         Normal    Pulled              pod/cartservice-546c548494-j4j6h             Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4" in 12.743s (1m19.714s including waiting). Image size: 43670323 bytes.
45m         Normal    Pulled              pod/redis-cart-6899b65948-rdm8k              Successfully pulled image "redis:alpine" in 12.858s (1m32.253s including waiting). Image size: 97220930 bytes.
