LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
29m         Normal    Started             pod/checkoutservice-75b9cd684f-dc5tt         Container started
29m         Normal    Created             pod/checkoutservice-75b9cd684f-dc5tt         Container created
29m         Normal    Pulled              pod/checkoutservice-75b9cd684f-dc5tt         Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4" in 9.802s (1m7.665s including waiting). Image size: 23389598 bytes.
29m         Normal    Created             pod/cartservice-546c548494-j4j6h             Container created
29m         Normal    Pulled              pod/cartservice-546c548494-j4j6h             Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4" in 12.743s (1m19.714s including waiting). Image size: 43670323 bytes.
29m         Normal    Started             pod/cartservice-546c548494-j4j6h             Container started
29m         Normal    Pulled              pod/redis-cart-6899b65948-rdm8k              Successfully pulled image "redis:alpine" in 12.858s (1m32.253s including waiting). Image size: 97220930 bytes.
29m         Normal    Created             pod/redis-cart-6899b65948-rdm8k              Container created
29m         Normal    Started             pod/redis-cart-6899b65948-rdm8k              Container started
28m         Warning   Unhealthy           pod/cartservice-546c548494-j4j6h             Readiness probe failed: timeout: health rpc did not complete within 1s
28m         Normal    Pulled              pod/paymentservice-6b76dfb449-m2g8g          Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4" in 36.101s (2m8.176s including waiting). Image size: 158102749 bytes.
28m         Normal    Created             pod/paymentservice-6b76dfb449-m2g8g          Container created
28m         Normal    Started             pod/paymentservice-6b76dfb449-m2g8g          Container started
28m         Warning   Unhealthy           pod/paymentservice-6b76dfb449-m2g8g          Readiness probe failed: timeout: failed to connect service "10.244.0.21:50051" within 1s: context deadline exceeded
28m         Normal    Pulled              pod/emailservice-7466dc585-cj92q             Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4" in 25.394s (2m33.563s including waiting). Image size: 223317390 bytes.
28m         Normal    Created             pod/emailservice-7466dc585-cj92q             Container created
27m         Normal    Started             pod/emailservice-7466dc585-cj92q             Container started
27m         Warning   Unhealthy           pod/emailservice-7466dc585-cj92q             Readiness probe failed: timeout: failed to connect service "10.244.0.20:8080" within 1s: context deadline exceeded
27m         Warning   Unhealthy           pod/emailservice-7466dc585-cj92q             Liveness probe failed: timeout: failed to connect service "10.244.0.20:8080" within 1s: context deadline exceeded
27m         Normal    Created             pod/frontend-694b9f76cd-7ngbj                Container created
27m         Normal    Started             pod/frontend-694b9f76cd-7ngbj                Container started
